fic;date;country;currency;mportret;mportretx
AUS;2009-05-29;AUSTRALIA;AUD;0.01801383754785002;0.01525091766454323
AUS;2009-06-30;AUSTRALIA;AUD;0.04141739872283878;0.03745809450181126
AUS;2009-07-31;AUSTRALIA;AUD;0.07624401299159023;0.0758436809165397
AUS;2009-08-31;AUSTRALIA;AUD;0.06902061405232973;0.05897084396124486
AUS;2009-09-30;AUSTRALIA;AUD;0.06270315392162495;0.05854911336892976
AUS;2009-10-30;AUSTRALIA;AUD;-0.02126556854149553;-0.02237816073027754
AUS;2009-11-30;AUSTRALIA;AUD;0.01635289822037489;0.01153724523642063
AUS;2009-12-31;AUSTRALIA;AUD;0.03537620023810439;0.0339973660425299
AUS;2010-01-29;AUSTRALIA;AUD;-0.05454771144383241;-0.05499281886206631
AUS;2010-02-26;AUSTRALIA;AUD;0.01707408257968535;0.01025965302707799
AUS;2010-03-31;AUSTRALIA;AUD;0.05500679466866942;0.04861002126730685
AUS;2010-04-30;AUSTRALIA;AUD;-0.01177128999046939;-0.01210155935533097
AUS;2010-05-31;AUSTRALIA;AUD;-0.07800977519126384;-0.08113897233090561
AUS;2010-06-30;AUSTRALIA;AUD;-0.02721099690146866;-0.03001900178897432
AUS;2010-07-30;AUSTRALIA;AUD;0.04205991020391187;0.04092472053205665
AUS;2010-08-31;AUSTRALIA;AUD;-0.008569778005313111;-0.01725423406536941
AUS;2010-09-30;AUSTRALIA;AUD;0.04967729670588672;0.04367140689257454
AUS;2010-10-29;AUSTRALIA;AUD;0.019912349960997;0.01883065007493467
AUS;2010-11-30;AUSTRALIA;AUD;-0.006778795860665876;-0.0126251085857072
AUS;2010-12-31;AUSTRALIA;AUD;0.03873657905265526;0.03213643947758471
AUS;2011-01-31;AUSTRALIA;AUD;0.002546934871452633;0.002379774688114455
AUS;2011-02-28;AUSTRALIA;AUD;0.02241965218081665;0.01444048749967175
AUS;2011-03-31;AUSTRALIA;AUD;0.006587079334689383;0.0009449531074383621
AUS;2011-04-29;AUSTRALIA;AUD;-0.005761256236047174;-0.006179795140282107
AUS;2011-05-31;AUSTRALIA;AUD;-0.02085289782101873;-0.02690697868001835
AUS;2011-06-30;AUSTRALIA;AUD;-0.02333257699616187;-0.02873976018136315
AUS;2011-07-29;AUSTRALIA;AUD;-0.03260728349787878;-0.03289497506539951
AUS;2011-08-31;AUSTRALIA;AUD;-0.01969600995806708;-0.0289956517663984
AUS;2011-09-30;AUSTRALIA;AUD;-0.06247104135482284;-0.06846588661065955
AUS;2011-10-31;AUSTRALIA;AUD;0.07114143705614007;0.07034902822687283
AUS;2011-11-30;AUSTRALIA;AUD;-0.03333531463500439;-0.03972700112904104
AUS;2011-12-30;AUSTRALIA;AUD;-0.0156546244254836;-0.01888509613978107
AUS;2012-01-31;AUSTRALIA;AUD;0.0504373943199159;0.05035905679766906
AUS;2012-02-29;AUSTRALIA;AUD;0.02513232039938829;0.01526288276980026
AUS;2012-03-30;AUSTRALIA;AUD;0.01291519565089061;0.008519365679098945
AUS;2012-04-30;AUSTRALIA;AUD;0.01095569556357012;0.01040074867593965
AUS;2012-05-31;AUSTRALIA;AUD;-0.0666284656385352;-0.07248679089309285
AUS;2012-06-29;AUSTRALIA;AUD;0.004031314220579452;0.001527143127546537
AUS;2012-07-31;AUSTRALIA;AUD;0.03901811477618211;0.03859295176002187
AUS;2012-08-31;AUSTRALIA;AUD;0.02200038631640311;0.0118648192717834
AUS;2012-09-28;AUSTRALIA;AUD;0.01990949125105956;0.01413410457125908
AUS;2012-10-31;AUSTRALIA;AUD;0.03063138462188175;0.03000874401495612
AUS;2012-11-30;AUSTRALIA;AUD;0.002361867727875167;-0.004513004061672432
AUS;2012-12-31;AUSTRALIA;AUD;0.03317421613315341;0.03131434544720402
AUS;2013-01-31;AUSTRALIA;AUD;0.05117429168161514;0.05102761201514627
